Date,Auto,Consumer,Oil & Gas (Energy),FMCG,IT,Media,Metal,Healthcare (Pharma),Realty,Finance,Benchmark
2015-12-08,8210.349609375,3483.550048828125,7990.7998046875,19518.599609375,11414.4501953125,2395.85009765625,1713.300048828125,11610.349609375,166.10000610351562,16994.90234375,7701.7001953125
2015-12-09,8067.89990234375,3436.550048828125,7849.4501953125,19448.44921875,11414.4501953125,2360.75,1658.800048828125,11372.0498046875,164.0500030517578,16994.90234375,7612.5
2015-12-10,8085.0,3465.949951171875,8046.10009765625,19624.30078125,11414.4501953125,2396.14990234375,1690.0,11368.150390625,166.85000610351562,16994.90234375,7683.2998046875
2015-12-11,7943.25,3442.89990234375,8002.7998046875,19624.150390625,11414.4501953125,2379.449951171875,1699.800048828125,11383.5,162.10000610351562,16994.90234375,7610.4501953125
2015-12-14,7964.0498046875,3475.85009765625,7997.0498046875,19698.69921875,11414.4501953125,2415.35009765625,1740.1500244140625,11488.0,161.8000030517578,16994.90234375,7650.0498046875
2015-12-15,8082.35009765625,3509.050048828125,8102.2998046875,19941.650390625,11414.4501953125,2436.5,1735.8499755859375,11554.7998046875,163.1999969482422,16398.458984375,7700.89990234375
2015-12-16,8035.60009765625,3491.800048828125,8213.849609375,19790.69921875,11414.4501953125,2440.35009765625,1737.9000244140625,11637.650390625,165.0500030517578,16398.458984375,7750.89990234375
2015-12-17,8149.0,3538.25,8356.650390625,19940.599609375,11414.4501953125,2496.5,1795.550048828125,11771.7998046875,167.3000030517578,16398.458984375,7844.35009765625
2015-12-18,8079.2001953125,3523.10009765625,8277.7998046875,19813.44921875,11414.4501953125,2491.64990234375,1772.699951171875,11663.7998046875,167.75,16398.458984375,7761.9501953125
2015-12-21,8154.89990234375,3555.550048828125,8343.75,20134.849609375,11414.4501953125,2522.300048828125,1800.4000244140625,11556.9501953125,169.75,16398.458984375,7834.4501953125
2015-12-22,8099.64990234375,3541.10009765625,8325.5,19904.150390625,11414.4501953125,2516.0,1781.5999755859375,11595.900390625,169.5,16398.458984375,7786.10009765625
2015-12-23,8111.0,3560.5,8458.4501953125,19983.25,11414.4501953125,2534.89990234375,1820.75,11805.849609375,171.5500030517578,16398.458984375,7865.9501953125
